"sec","date","open","high","low","close","volume","adjusted"
"153",2000-08-09,3.4375,3.459821,3.375,3.392857,94910200,2.972241
"154",2000-08-10,3.428571,3.459821,3.383929,3.397321,62928600,2.976153
"155",2000-08-11,3.345978,3.428571,3.254464,3.40625,59514000,2.983975
"156",2000-08-14,3.39955,3.40625,3.308036,3.361607,39165000,2.944865
"157",2000-08-15,3.375,3.424107,3.321429,3.334821,28550200,2.921401
"158",2000-08-16,3.348214,3.5,3.34375,3.464286,35918400,3.034816
"159",2000-08-17,3.455357,3.745536,3.450893,3.674107,67725000,3.218624
"160",2000-08-18,3.669643,3.700893,3.5625,3.571429,47544000,3.128675
"161",2000-08-21,3.589286,3.683036,3.544643,3.607143,33616800,3.159962
"162",2000-08-22,3.616071,3.772321,3.598214,3.691964,69200600,3.234268
"163",2000-08-23,3.676336,3.910714,3.647321,3.879464,59215800,3.398523
"164",2000-08-24,3.905128,4.044643,3.8125,4.007807,77691600,3.510955
"165",2000-08-25,4.035714,4.107143,4.026786,4.058036,83615000,3.554957
"166",2000-08-28,4.089286,4.214286,4.075893,4.147321,89751200,3.633175
"167",2000-08-29,4.133929,4.245536,4.120536,4.227679,66757600,3.703569
"168",2000-08-30,4.214286,4.285714,4.193079,4.25,71348200,3.723124
"169",2000-08-31,4.21205,4.392857,4.209821,4.352679,104899200,3.813073
"170",2000-09-01,4.379464,4.544643,4.366071,4.53125,64218000,3.969506
"171",2000-09-05,4.475443,4.580357,4.446429,4.459821,74660600,3.906934
"172",2000-09-06,4.383929,4.455357,4.125,4.174107,88851000,3.656638
"173",2000-09-07,4.223214,4.46875,4.160714,4.428571,54366200,3.879556
"174",2000-09-08,4.401786,4.401786,4.178571,4.205357,48879600,3.684015
"175",2000-09-11,4.191964,4.3125,4.151786,4.174107,46845400,3.656638
"176",2000-09-12,4.095979,4.290179,4.071429,4.125,46999400,3.61362
"177",2000-09-13,4.053571,4.25,4.053571,4.142857,76496000,3.629262
"178",2000-09-14,4.183036,4.258929,4.058036,4.061378,106638000,3.557886
"179",2000-09-15,4.125,4.15625,3.875,3.945307,98628600,3.456204
"180",2000-09-18,3.946429,4.339286,3.933036,4.332586,106134000,3.795471
"181",2000-09-19,4.267857,4.321429,4.183036,4.28125,67877600,3.750499
"182",2000-09-20,4.2433,4.388393,4.183036,4.360486,56847000,3.819911
"183",2000-09-21,4.178571,4.258929,3.946429,4.049107,127622600,3.547136
"184",2000-09-22,3.59375,3.745536,3.571429,3.727679,181675200,3.265555
"185",2000-09-25,3.767857,3.964286,3.71875,3.821429,108887800,3.347682
"186",2000-09-26,3.808036,3.910714,3.669643,3.674107,72734200,3.218624
"187",2000-09-27,3.696429,3.767857,3.446429,3.495536,100564800,3.062191
"188",2000-09-28,3.522321,3.84375,3.4375,3.821429,244896400,3.347682
"189",2000-09-29,2.013393,2.071429,1.8125,1.839286,1855410200,1.611268
"190",2000-10-02,1.90625,1.910714,1.678571,1.732143,606197200,1.517408
"191",2000-10-03,1.78125,1.785714,1.584821,1.59375,509530000,1.396171
"192",2000-10-04,1.598214,1.696429,1.5625,1.6875,366506000,1.478299
"193",2000-10-05,1.678571,1.75,1.571429,1.575893,218251600,1.380528
"194",2000-10-06,1.620536,1.638393,1.5,1.584821,153164200,1.38835
"195",2000-10-09,1.616071,1.633929,1.508929,1.553571,149391200,1.360974
"196",2000-10-10,1.544643,1.602679,1.464286,1.491071,172775400,1.306222
"197",2000-10-11,1.4375,1.5,1.366071,1.401786,299605600,1.228005
"198",2000-10-12,1.450893,1.486607,1.392857,1.428571,297766000,1.25147
"199",2000-10-13,1.446429,1.580357,1.428571,1.575893,311938200,1.380528
"200",2000-10-16,1.59375,1.660714,1.526786,1.535714,205044000,1.345331
"201",2000-10-17,1.549107,1.566964,1.40625,1.4375,150430000,1.259292
"202",2000-10-18,1.388393,1.504464,1.339286,1.4375,208566400,1.259292
"203",2000-10-19,1.3683,1.415179,1.308036,1.352679,376681200,1.184986
"204",2000-10-20,1.361607,1.455357,1.352679,1.392857,197815800,1.220183
"205",2000-10-23,1.447543,1.46875,1.388393,1.455357,137823000,1.274935
"206",2000-10-24,1.477679,1.491071,1.34375,1.348214,201112800,1.181075
"207",2000-10-25,1.361607,1.370536,1.316964,1.321429,165992400,1.15761
"208",2000-10-26,1.34375,1.348214,1.25,1.321429,180462800,1.15761
"209",2000-10-27,1.348214,1.370536,1.276786,1.325893,186125800,1.161521
"210",2000-10-30,1.366071,1.424107,1.339286,1.379464,159797400,1.208451
"211",2000-10-31,1.410714,1.446429,1.375,1.397321,221470200,1.224094
"212",2000-11-01,1.388393,1.491071,1.388393,1.464286,143841600,1.282757
"213",2000-11-02,1.508929,1.602679,1.504464,1.59375,147673400,1.396171
"214",2000-11-03,1.642857,1.642857,1.566964,1.589286,128955400,1.392261
"215",2000-11-06,1.602679,1.616071,1.491071,1.53125,98369600,1.34142
"216",2000-11-07,1.535714,1.558036,1.486607,1.522321,75490800,1.333598
"217",2000-11-08,1.526786,1.53125,1.415179,1.433036,105522200,1.255381
"218",2000-11-09,1.419643,1.464286,1.361607,1.441964,119208600,1.263203
"219",2000-11-10,1.382807,1.419643,1.361607,1.361607,105562800,1.192808
"220",2000-11-13,1.339286,1.428571,1.303571,1.383929,107954000,1.212362
"221",2000-11-14,1.424107,1.464286,1.397321,1.446429,102250400,1.267114
"222",2000-11-15,1.4308,1.441964,1.375,1.419643,70589400,1.243648
"223",2000-11-16,1.392857,1.415179,1.348214,1.357143,59843000,1.188897
"224",2000-11-17,1.370536,1.375,1.303571,1.321429,111545000,1.15761
"225",2000-11-20,1.328121,1.392857,1.303571,1.352679,102016600,1.184986
"226",2000-11-21,1.370536,1.392857,1.339286,1.34375,75488000,1.177164
"227",2000-11-22,1.34375,1.366071,1.3125,1.321429,70133000,1.15761
"228",2000-11-24,1.347093,1.392857,1.34375,1.379464,40233200,1.208451
"229",2000-11-27,1.419643,1.424107,1.321429,1.334821,64698200,1.169342
"230",2000-11-28,1.334821,1.357143,1.28125,1.287943,67281200,1.128275
"231",2000-11-29,1.292407,1.308036,1.232143,1.254464,123037600,1.098947
"232",2000-11-30,1.191964,1.214286,1.151786,1.178571,202399400,1.032463
"233",2000-12-01,1.214286,1.25,1.200893,1.21875,96426400,1.06766
"234",2000-12-04,1.227679,1.227679,1.174107,1.191964,92880200,1.044195
"235",2000-12-05,1.209821,1.245536,1.169643,1.214286,153494600,1.063749
"236",2000-12-06,1.044643,1.071429,1,1.022321,343616000,0.895583
"237",2000-12-07,1.03125,1.0625,1,1.022321,102229400,0.895583
"238",2000-12-08,1.058036,1.09375,1.03125,1.075893,108906000,0.942513
